Name,,twitter_username,UserID ,Remarks
Banyan Tree,,@showmanonhigh,1701498825532383232,
EVM is superstar,,@akaachilles,56854020,
Kadapa Abbai,,@nagendrareddyz,1798206882068455424,
flower,,@KuC4Me,1444746503411601410,
Vizag-The City of Destiny,,@Justice_4Vizag,918352812852912128,
Nag1406,,@King_nag_1406,1287647922704789505,
AP360,,@andhraa360,1647246952466112515,
Nikhil,,@Nikhil6991,1788068596691951616,
Surya Bhagath,,@SuryaBhagat7,795191578721533952,
HeisenKey,,@Knandd,1235802200007249925,
Udian,,@Udianujar,257045592,
YASH,,@YashYCP__,1242754336217694209,
YSRKutumbam,,@Ysrkutumbam,902773497457496065,
Keerthan,,@Keerthanro45_,1654484306339717123,
Jagananna Connects,,@jaganannaCNCTS,4428552914,
Raju,,@rajulike7,146820998,
Team Jagan Army| Siddham,,@nenurajun,1511738476290400265,
Andhra Pradesh Infra Story,,@APInfrastory,1587409709853966337,
Nani,,@Ravanaroy,389126904,
SRRR@AP,,@radhika89546357,1136439391977496576,
Yuga Purushudu,,@Pottipotato95,912744541702193152,
Toorpu Teeram,,@Toorpu_teeram,1748603150343532544,
ChotaNews,,@ChotaNewsTelugu,1496681026759774209,
ABCDEF,,@astrologer___,1196770360982552577,
Srivalli,,@srivalli2019,1487740579890954241,
Johny Kaki,,@johny_kaki,1622936492481052674,
Chaitu,,@ChaituChatter,1471214569737670663,
Sweet Sadist,,@keystonehabitee,1058568817058738176,
KDR,,@KDRtweets,138634449,
Bhargav R,,@TheRam_tweets,1308724928993165312,
Pikedhi EmLedhu,,@Pikindi_EmLedu,1695708588747239424,Username changed  from @Pikedhi_EmLedu
Mounika S,,@mounikareddy_ca,,
Siri,,@siri akkineni,,
Sai chowdary,,@saiholicc,1387223796923334660,
Eshwar A,,@Eshwar_Adhikari,1138317897875410944,వందనం వద్దు ఇందనం ముద్దు - Name Changed
ANIMAL,,@animaluuuuu,1729102292706828288,
S R$g@,,@regas85,125636392,
Nizam Ka Salaar Superstar,,@sharath43064221,1384854524297310208,
VizagPanda,,@VizagPanda,865204396837097472,
VAASU,,@Vaasu__YSR,1482297571548995590,
YSJ THE Stalwart,,@2029YSJ,1542181538238201856,
EVMS SCAMS IN 2024 ELECTIONS..MANIFESTO.DUSTBIN,,@ameens546,2623312537,
Justice for Sugali Preethi,,@VermaVoyages,1714874390234750976,Name changed to Vikrant Verma & username from  @sugalipreethi47 
"Bro, Lets talk",,@bro_letstalk,1700915188718043136,
Social Experiment,,@Goneworse,1112644324821331968,
Sai Nath Rdy,,@sainath_sane,1431806495109173250,
Saaho_tweets,,@saaho_tweets,820066291184713730,
Surya Bhagath,,@lucky_review,1194145858360446976,
Ms.Mermaid,,@ArshiTheMermaid,2955074725,
Ram chowdary,,@ysj_ram,728930832,
REDDY C/O JAGAN,,@ysrcpdiehard,1674609272544436227,
Childhood Memories,,@Research_Mate_,,
Sourav Reddy,,@RSRYSR,1606051749193830409,
Sidhdham,,@jones_panithi,1250539745827930112,
Jenda Coolie ni Naku Siggu Ledu,,@NareshThallape7,1595417924306886656,
Telugu Varthalu,,@TeluguVarthaluu,1571310533298782208,
Sukkumarkk,,@strictlyAsking,1097771979040407552,
Charan chowdary,,@Cherry_ysj,1700508788934205440,
Shaik.saleem saleem,,@shaiksaleemsale,1318851974968745985,
Team PRR,,@Team_PRR,1048225309638545408,
Haneesh,,@vekuvakiranam,,
